
System:              Dusans-MacBook-Pro.local
Processor:           Intel(R) Core(TM) i5-4278U CPU @ 2.60GHz
    Cache:           32768
    Clock:           2600
    Cores:           2 cpus x 4 Cores = 8
    Virtual Memory:  Total: 3072 Available: 969
    Physical Memory: Total:8192 Available: 330
OSName:              Mac OS X
    Release:         10.11.4
    Version:         15E65
    Platform:        x86_64
    Operating System is 64 bit
ITK Version: 4.9.0
Name Of Probe(Time)           Iteration      Total(s)       Min(s)         Mean(s)        Max(s)         Std(s)         
0.19_0.21                     1              1.54462        1.54462        1.54462        1.54462        0              
0.19_0.22                     1              1.5039         1.5039         1.5039         1.5039         0              
0.19_0.23                     1              1.71369        1.71369        1.71369        1.71369        0              
0.19_0.24                     1              1.6077         1.6077         1.6077         1.6077         0              
0.1_0.15                      1              0.984226       0.984226       0.984226       0.984226       0              
0.1_0.16                      1              0.830612       0.830612       0.830612       0.830612       0              
0.1_0.17                      1              0.856534       0.856534       0.856534       0.856534       0              
0.1_0.18                      1              0.922731       0.922731       0.922731       0.922731       0              
0.1_0.19                      1              0.973966       0.973966       0.973966       0.973966       0              
0.1_0.2                       1              0.967899       0.967899       0.967899       0.967899       0              
0.1_0.21                      1              0.997939       0.997939       0.997939       0.997939       0              
0.1_0.22                      1              1.04305        1.04305        1.04305        1.04305        0              
0.1_0.23                      1              1.08565        1.08565        1.08565        1.08565        0              
0.1_0.24                      1              1.11759        1.11759        1.11759        1.11759        0              
